TIPO;IDENTIFICACION;APELLIDO;NOMBRE;CARRERA_INDEFINIDA;INSCRIPCION;DOCUMENTACION;MATRICULA;EMAIL;TELEFONO;SEDE;SEXO;RESIDENCIA;TITULO;EGRESO;UNIVERSIDAD;NACIMIENTO;POSGRADO
NULL;1;1A;3E;ESPECIALIZACIO R;2020-08-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;2;2B;4F;MAESTR Y;2020-08-14 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;3;2a;3E;MAESTR Z;2021-07-08 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;4;2B;4F;DOCTORADO Y;2021-02-07 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;5;3a;3E;MAESTR X;2022-02-28 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;6;2B;4F;DOCTORADO Z;2022-02-22 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;7;4a;3E;DOCTORADO Z;2021-03-20 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;8;2B;4F;MAESTR X;2021-03-31 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;9;5a;3E;DOCTORADO Z;2021-03-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;10;2B;4F;ESP.X;2021-08-10 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;11;6a;3E;DOCTORADO Z;2022-02-16 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;12;2B;4F;ESPECIALIZACIO R;2021-02-08 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;13;7a;3E;DOCTORADO Y;2022-02-17 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;14;2B;4F;ESP.X;2021-08-10 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;15;8a;3E;MAESTR X;2022-03-11 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;16;2B;4F;ESPECIALIZACI W;2022-03-28 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;17;9a;3E;DOCTORADO Z;2022-03-15 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;18;2B;4F;ESPECIALIZACIO R;2020-07-23 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;19;10a;3E;DOCTORADO Z;2022-02-03 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;20;2B;4F;ESP.X;2020-08-10 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;21;11a;3E;ESPECIALIZACIO R;2021-07-27 00:00:00.0000000;0;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;0
NULL;22;2B;4F;ESP.X;2021-08-09 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;23;12a;3E;DOCTORADO Z;2021-03-19 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;24;2B;4F;ESPECIALIZACI W;2021-03-04 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;25;13a;3E;MAESTR Y;2020-08-14 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;26;2B;4F;MAESTR Z;2020-08-03 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;27;14a;3E;MAESTR Y;2020-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;28;2B;4F;MAESTR Z;2021-08-13 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
NULL;29;15a;3E;DOCTORADO Z;2021-03-17 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;30;2B;4F;DOCTORADO Z;2022-03-06 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;2
NULL;31;16a;3E;MAETR R;2021-02-24 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;32;2B;4F;MAETR R;2021-02-08 00:00:00.0000000;1;0;CORREO@;Numero X;SEDE X;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;33;17a;3E;MAESTR Z;2020-07-07 00:00:00.0000000;1;1;CORREO@;Numero X;SEDE Y;NULL;NULL;NULL;NULL;NULL;NULL;1
